Vivado Simulator 2018.2
Time resolution is 1 ps
                   0 REQ = xxxxxxxx  FRAME = x  GNT = xxxxxxxx  RST = x
                   2 REQ = xxxxxxxx  FRAME = 1  GNT = xxxxxxxx  RST = 0
                   5 REQ = xxxxxxxx  FRAME = 1  GNT = 11111111  RST = 0
                   7 REQ = xxxxxxxx  FRAME = 1  GNT = 11111111  RST = 1
                  17 REQ = 00000011  FRAME = 1  GNT = 11111111  RST = 1
                  25 REQ = 00000011  FRAME = 0  GNT = 11111111  RST = 1
                  27 REQ = 00000100  FRAME = 0  GNT = 11111111  RST = 1
                  47 REQ = 00000110  FRAME = 0  GNT = 11111111  RST = 1
                  50 REQ = 00000110  FRAME = 1  GNT = 11111111  RST = 1
                  55 REQ = 00000110  FRAME = 1  GNT = 11111110  RST = 1
                  57 REQ = 00000000  FRAME = 1  GNT = 11111110  RST = 1
                  67 REQ = 00000101  FRAME = 1  GNT = 11111110  RST = 1
                  75 REQ = 00000101  FRAME = 0  GNT = 11111110  RST = 1
                  77 REQ = 00000110  FRAME = 0  GNT = 11111110  RST = 1
                  87 REQ = 00000011  FRAME = 0  GNT = 11111110  RST = 1
                  97 REQ = 00000001  FRAME = 0  GNT = 11111110  RST = 1
                 100 REQ = 00000001  FRAME = 1  GNT = 11111110  RST = 1
                 105 REQ = 00000001  FRAME = 1  GNT = 11111101  RST = 1
                 107 REQ = 00000011  FRAME = 1  GNT = 11111101  RST = 1
                 117 REQ = 00000001  FRAME = 1  GNT = 11111101  RST = 1
                 125 REQ = 00000001  FRAME = 0  GNT = 11111101  RST = 1
                 137 REQ = 00000000  FRAME = 0  GNT = 11111101  RST = 1
                 150 REQ = 00000000  FRAME = 1  GNT = 11111101  RST = 1
                 155 REQ = 00000000  FRAME = 1  GNT = 11111110  RST = 1
                 157 REQ = 00000100  FRAME = 1  GNT = 11111110  RST = 1
                 167 REQ = 00000010  FRAME = 1  GNT = 11111110  RST = 1
                 175 REQ = 00000010  FRAME = 0  GNT = 11111110  RST = 1
                 177 REQ = 00000011  FRAME = 0  GNT = 11111110  RST = 1
                 187 REQ = 00000110  FRAME = 0  GNT = 11111110  RST = 1
                 197 REQ = 00000011  FRAME = 0  GNT = 11111110  RST = 1
                 200 REQ = 00000011  FRAME = 1  GNT = 11111110  RST = 1
                 205 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 225 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                 250 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 275 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                 300 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 325 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                 350 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 375 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                 400 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 425 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                 450 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 475 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                 500 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 525 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                 550 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 575 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                 600 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 625 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                 650 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 675 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                 700 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 725 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                 750 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 775 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                 800 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 825 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                 850 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 875 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                 900 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 925 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                 950 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
                 975 REQ = 00000011  FRAME = 0  GNT = 11111011  RST = 1
                1000 REQ = 00000011  FRAME = 1  GNT = 11111011  RST = 1
